transaction_id,masked_narrative,aml_tags,risk_score,explanation,original_narrative,amount_sgd,date,error
T001,Cash deposit at Jurong East branch,['structuring'],7.0,"The transaction amount is just below the typical reporting threshold of 10,000 SGD, which is indicative of structuring to avoid detection. The cash deposit at a branch further supports this suspicion.",Cash deposit at Jurong East branch,9900.0,01-10-2025,
T002,Cash deposit at Woodlands branch,['structuring'],7.0,"The transaction amount is just below the typical reporting threshold of 10,000 SGD, which is a common indicator of structuring. The cash deposit at a branch further supports this suspicion.",Cash deposit at Woodlands branch,9850.0,02-10-2025,
T003,Cash deposit at Tampines branch – customer says for renovation,['structuring'],7.0,"The transaction amount is just below the typical reporting threshold of 10,000 SGD, which may indicate structuring to avoid detection. The narrative of 'renovation' is vague and could be used to justify the deposit without providing specific details.",Cash deposit at Tampines branch – customer says for renovation,9950.0,03-10-2025,
T004,Cash deposit followed by same-day PayNow to multiple individuals,"['structuring', 'smurfing']",7.0,"The transaction involves a cash deposit followed by multiple same-day PayNow transfers, which is indicative of structuring and smurfing. The amount is just below the typical reporting threshold, suggesting an attempt to avoid detection by breaking down transactions into smaller amounts.",Cash deposit followed by same-day PayNow to multiple individuals,9800.0,04-10-2025,
T005,Incoming RTGS from ABC CRYPTO EXCHANGE PTE LTD,['crypto'],7.0,"The transaction involves a significant amount of money (50,000 SGD) coming from a crypto exchange, which is a common channel for money laundering activities due to the pseudonymous nature of cryptocurrencies. This raises the risk score to 7, indicating a higher risk of AML concerns.",Incoming RTGS from ABC CRYPTO EXCHANGE PTE LTD,50000.0,05-10-2025,
T006,Immediate cash withdrawal after crypto credit,['crypto'],7.0,"The transaction involves a cash withdrawal immediately following a crypto credit, which is a common indicator of potential money laundering activities involving cryptocurrencies. This pattern can be associated with attempts to obscure the origin of funds, hence a higher risk score.",Immediate cash withdrawal after crypto credit,49800.0,05-10-2025,
T007,"Cash deposit – customer in construction vest, no company name",['structuring'],7.0,"The transaction amount is just below the typical reporting threshold of 10,000 SGD, which is indicative of structuring. The narrative suggests a cash deposit by an individual in a construction vest without a company name, which raises suspicion about the legitimacy and source of funds.","Cash deposit – customer in construction vest, no company name",9800.0,06-10-2025,
T008,Cash deposit daily pattern 12 days,"['structuring', 'smurfing']",8.0,"The transaction involves a cash deposit pattern just below the reporting threshold over multiple days, which is indicative of structuring or smurfing to avoid detection.",Cash deposit daily pattern 12 days,9999.99,07-10-2025,
T009,Incoming from XYZ TRADING SDN BHD Malaysia – goods: used electronics,['trade-based laundering'],7.0,"The transaction involves a cross-border transfer from Malaysia for used electronics, which is a common method for trade-based money laundering. The amount is significant, raising suspicion about the true value of the goods and potential misrepresentation of invoices.",Incoming from XYZ TRADING SDN BHD Malaysia – goods: used electronics,150000.0,08-10-2025,
T010,Same-day transfer to 18 different personal accounts,"['structuring', 'smurfing']",8.0,"The transaction involves transferring a large amount of money to multiple personal accounts on the same day, which is indicative of structuring or smurfing. This is a common method used to avoid detection by breaking down large sums into smaller, less suspicious amounts. The risk score is high due to the number of accounts involved and the same-day nature of the transfers.",Same-day transfer to 18 different personal accounts,149800.0,09-10-2025,
T011,Salary credit from ABC MANPOWER SUPPLY then immediate PayNow to 91234567,['structuring'],6.0,"The transaction involves an immediate transfer of the entire salary amount, which could indicate structuring to avoid detection or to quickly move funds. The use of PayNow for immediate transfer raises suspicion of potential smurfing or funneling activities.",Salary credit from ABC MANPOWER SUPPLY then immediate PayNow to 91234567,8500.0,10-10-2025,
T012,Incoming from online betting platform WINBIG88,['gambling'],7.0,"The transaction is incoming from an online betting platform, which is associated with gambling activities. Such transactions are considered high risk due to potential links to money laundering activities through gambling platforms.",Incoming from online betting platform WINBIG88,20000.0,11-10-2025,
T013,Cash deposit by girlfriend on behalf of boyfriend overseas,"['structuring', 'smurfing']",7.0,"The transaction amount is just below the typical reporting threshold, which may indicate structuring to avoid detection. The involvement of a third party (girlfriend) depositing on behalf of someone overseas suggests smurfing, where funds are split into smaller amounts to evade scrutiny.",Cash deposit by girlfriend on behalf of boyfriend overseas,9800.0,12-10-2025,
T014,Transfer from account opened 3 days ago – no salary credit,['structuring'],7.0,"The transaction involves a large amount transferred from an account that was opened very recently, with no salary credit. This suggests potential structuring or layering activities to obscure the origin of funds, which is a common AML typology.",Transfer from account opened 3 days ago – no salary credit,30000.0,13-10-2025,
T015,Round dollar cash withdrawal at Johor Bahru ATM,['structuring'],7.0,"The transaction amount is just below the reporting threshold of 100,000 SGD, which is indicative of structuring to avoid detection. The withdrawal is in cash and occurs at an ATM in Johor Bahru, which may suggest cross-border activity.",Round dollar cash withdrawal at Johor Bahru ATM,99950.0,14-10-2025,
T016,Multiple small PayNow from different names – all message “lunch money”,"['structuring', 'smurfing']",7.0,"The transaction involves multiple small payments from different names, which is indicative of structuring or smurfing. The consistent use of the message 'lunch money' suggests an attempt to disguise the true purpose of the funds, increasing the risk of money laundering.",Multiple small PayNow from different names – all message “lunch money”,7500.0,15-10-2025,
T017,Incoming from shell company in BVI – invoice attached for “consultancy”,['trade-based laundering'],8.0,"The transaction involves an incoming transfer from a shell company located in the British Virgin Islands (BVI), a known offshore financial center. The use of a shell company and the vague description of 'consultancy' services are common indicators of trade-based money laundering. The risk is heightened due to the lack of transparency and potential for misrepresentation of the true nature of the transaction.",Incoming from shell company in BVI – invoice attached for “consultancy”,100000.0,16-10-2025,
T018,Cash deposit every Monday for 6 months exactly 9800,"['structuring', 'smurfing']",8.0,"The transaction pattern suggests structuring, as deposits are consistently made just below the reporting threshold to avoid detection. The regularity and amount indicate an attempt to evade AML controls, which is a common structuring technique.",Cash deposit every Monday for 6 months exactly 9800,9800.0,17-10-2025,
T019,Transfer to known online casino wallet address,['gambling'],7.0,"The transaction involves a transfer to a known online casino wallet, which is indicative of gambling activities. Such transactions are considered high-risk due to the potential for money laundering through gambling platforms.",Transfer to known online casino wallet address,45000.0,18-10-2025,
T020,Cash deposit by elderly customer – says son asked him to,"['structuring', 'smurfing']",7.0,"The transaction amount is just below the typical reporting threshold of 10,000 SGD, which may indicate structuring to avoid detection. The involvement of an elderly customer acting on behalf of someone else suggests potential smurfing, where funds are divided into smaller amounts to evade scrutiny.",Cash deposit by elderly customer – says son asked him to,9900.0,19-10-2025,
T021,Cash deposit at 5 different branches same day,"['structuring', 'smurfing']",8.0,"The transaction involves cash deposits at multiple branches on the same day, which is indicative of structuring or smurfing. This is a common method to avoid detection by keeping deposits below reporting thresholds.",Cash deposit at 5 different branches same day,9850.0,20-10-2025,
T022,Incoming from crypto exchange then immediate overseas wire,"['crypto', 'funnel']",8.0,"The transaction involves funds coming from a crypto exchange followed by an immediate overseas wire transfer, which is indicative of funneling and potential money laundering through cryptocurrency. The rapid movement of funds from crypto to overseas accounts raises significant AML concerns.",Incoming from crypto exchange then immediate overseas wire,49500.0,21-10-2025,
T023,Cash deposit – customer refuses to fill CTR form,['structuring'],8.0,"The transaction amount is just below the typical reporting threshold of 10,000 SGD, and the customer's refusal to fill the CTR form suggests an attempt to avoid reporting requirements, indicative of structuring.",Cash deposit – customer refuses to fill CTR form,9800.0,22-10-2025,
T024,Trade payment for “scrap metal” – price 300% above market,['trade-based laundering'],8.0,"The transaction involves a trade payment for scrap metal at a price significantly above market value, which is indicative of trade-based money laundering. This typology involves misrepresenting the price, quantity, or quality of goods to move money across borders and disguise its origins. The 300% markup suggests potential manipulation to launder funds.",Trade payment for “scrap metal” – price 300% above market,200000.0,23-10-2025,
T025,Cash deposit pattern resumed after 2-week break,['structuring'],7.0,"The transaction amount is just below the typical reporting threshold, suggesting possible structuring. The narrative indicates a pattern of cash deposits, which resumed after a break, further supporting the suspicion of structuring to avoid detection.",Cash deposit pattern resumed after 2-week break,9800.0,24-10-2025,
T026,Multiple incoming from massage parlours,"['structuring', 'trade-based laundering']",8.0,"The transaction involves multiple incoming funds from massage parlours, which can be indicative of structuring to avoid detection thresholds. Additionally, massage parlours are sometimes used as fronts for trade-based money laundering, increasing the risk score.",Multiple incoming from massage parlours,15000.0,25-10-2025,
T027,Cash deposit by domestic helper on behalf of employer,['structuring'],7.0,"The transaction amount is just below the typical reporting threshold of 10,000 SGD, which may indicate structuring to avoid detection. The use of a domestic helper to deposit cash on behalf of an employer further raises suspicion of potential money laundering activities.",Cash deposit by domestic helper on behalf of employer,9900.0,26-10-2025,
T028,Incoming from high-risk jurisdiction then layered through 12 accounts,"['structuring', 'trade-based laundering']",9.0,"The transaction involves funds coming from a high-risk jurisdiction and being layered through multiple accounts, which is indicative of structuring and trade-based laundering. The complexity and the number of accounts involved increase the risk score significantly.",Incoming from high-risk jurisdiction then layered through 12 accounts,48000.0,27-10-2025,
T029,Cash deposit just below reporting threshold for 18 consecutive days,"['structuring', 'smurfing']",9.0,"The transaction involves cash deposits just below the reporting threshold for 18 consecutive days, indicating potential structuring or smurfing to avoid detection. This pattern is highly suspicious and suggests an attempt to evade regulatory scrutiny.",Cash deposit just below reporting threshold for 18 consecutive days,9950.0,28-10-2025,
T030,Transfer to newly opened student account then immediate cash out,"['structuring', 'smurfing']",8.0,"The transaction involves transferring a significant amount to a newly opened account followed by immediate cash withdrawal, which is indicative of structuring or smurfing to avoid detection. The behavior suggests an attempt to break down large amounts into smaller, less suspicious transactions.",Transfer to newly opened student account then immediate cash out,30000.0,29-10-2025,
T031,Salary credit followed by immediate transfer to online gambling site,['gambling'],7.0,"The transaction involves an immediate transfer of salary to an online gambling site, which is a common indicator of gambling-related activity. This raises the risk score due to potential money laundering through gambling platforms.",Salary credit followed by immediate transfer to online gambling site,8500.0,30-10-2025,
T032,Cash deposit – customer says “don’t want to declare”,['structuring'],8.0,"The transaction amount is just below the typical reporting threshold, and the customer's statement suggests an intention to avoid declaration, indicating potential structuring to evade reporting requirements.",Cash deposit – customer says “don’t want to declare”,9800.0,31-10-2025,
T033,Incoming from Labuan company – description “management fees”,['trade-based laundering'],7.0,"The transaction involves a significant amount of money (100,000 SGD) coming from Labuan, a known offshore financial center, under the guise of 'management fees'. This is indicative of trade-based money laundering, where legitimate business transactions are used to disguise illicit funds. The use of vague descriptions like 'management fees' further raises suspicion.",Incoming from Labuan company – description “management fees”,100000.0,01-11-2025,
T034,Crypto on-ramp then same-day offshore wire,"['crypto', 'offshore']",8.0,"The transaction involves converting funds into cryptocurrency and then transferring them offshore on the same day. This pattern is indicative of potential money laundering activities, particularly using crypto to obscure the origin of funds and quickly moving them offshore. The amount is significant, and the rapid movement of funds raises suspicion.",Crypto on-ramp then same-day offshore wire,49000.0,02-11-2025,
T035,Cash deposit at Orchard branch by different person every day,"['structuring', 'smurfing']",8.0,"The transaction involves cash deposits just below the reporting threshold (10,000 SGD) by different individuals, indicating possible structuring or smurfing to avoid detection. This pattern is suspicious and suggests an attempt to circumvent regulatory scrutiny.",Cash deposit at Orchard branch by different person every day,9950.0,03-11-2025,
T036,Multiple PayNow from strangers – all message “refund”,"['structuring', 'smurfing']",8.0,"The transaction involves multiple PayNow transfers from strangers with the narrative 'refund', which is suspicious and indicative of potential structuring or smurfing. The use of 'refund' suggests an attempt to disguise the true nature of the transactions, possibly to avoid detection. The involvement of strangers further raises the risk level.",Multiple PayNow from strangers – all message “refund”,25000.0,04-11-2025,
T037,Cash deposit pattern – customer uses different counters,"['structuring', 'smurfing']",8.0,"The transaction involves cash deposits using different counters, which is indicative of structuring or smurfing. This is a common method to avoid detection by breaking down large amounts into smaller, less suspicious transactions. The amount is close to the reporting threshold, further suggesting an attempt to evade reporting requirements.",Cash deposit pattern – customer uses different counters,9800.0,05-11-2025,
T038,Trade-based laundering – over-invoicing of rice export,['trade-based laundering'],8.0,"The transaction involves trade-based laundering through over-invoicing, a common method to disguise the movement of illicit funds. The high amount and specific mention of over-invoicing indicate a significant risk.",Trade-based laundering – over-invoicing of rice export,150000.0,06-11-2025,
T039,Cash deposit followed by PayNow to 25 different phones,"['structuring', 'smurfing']",8.0,"The transaction involves a cash deposit followed by transfers to 25 different phones, which is indicative of structuring and smurfing. These techniques are used to avoid detection by breaking down large amounts into smaller, less suspicious transactions. The use of multiple phone numbers suggests an attempt to disperse funds across different accounts, increasing the risk score.",Cash deposit followed by PayNow to 25 different phones,9850.0,07-11-2025,
T040,Incoming from unlicensed money changer,"['structuring', 'trade-based laundering']",8.0,"The transaction involves a large amount of money coming from an unlicensed money changer, which is a red flag for potential money laundering activities. The use of unlicensed entities can indicate attempts to bypass regulatory scrutiny, and the amount suggests possible structuring or trade-based laundering.",Incoming from unlicensed money changer,50000.0,08-11-2025,
T041,Cash deposit – customer filming the teller,['structuring'],8.0,"The transaction amount is just below the typical reporting threshold of 10,000 SGD, which is indicative of structuring. Additionally, the unusual behavior of filming the teller suggests potential suspicious activity.",Cash deposit – customer filming the teller,9900.0,09-11-2025,
T042,Funnel account – 87 incoming transfers in 3 days,['funnel'],9.0,"The transaction is flagged as a funnel account activity due to a high number of incoming transfers (87) within a short period (3 days). This pattern is indicative of money laundering, where funds are consolidated from multiple sources into a single account before being moved elsewhere. The risk score is high due to the volume and frequency of transactions, which is characteristic of funnel accounts used in laundering schemes.",Funnel account – 87 incoming transfers in 3 days,40000.0,10-11-2025,
T043,Cash deposit every Friday evening,"['structuring', 'smurfing']",7.0,"The transaction involves regular cash deposits just below the reporting threshold, which is indicative of structuring or smurfing to avoid detection. The consistent pattern of deposits every Friday evening suggests an attempt to evade AML controls.",Cash deposit every Friday evening,9800.0,11-11-2025,
T044,Transfer to mule account opened with fake passport,"['structuring', 'funnel']",9.0,"The transaction involves transferring a significant amount to a mule account, which is a common method in funneling and structuring schemes. The use of a fake passport to open the account further indicates fraudulent activity and high risk.",Transfer to mule account opened with fake passport,30000.0,12-11-2025,
T045,Cash deposit pattern – amount increases by $50 every week,['structuring'],7.0,"The transaction amount is just below the typical reporting threshold of 10,000 SGD, and the pattern of increasing deposits by $50 each week suggests an attempt to avoid detection by structuring deposits to remain under the reporting limit.",Cash deposit pattern – amount increases by $50 every week,9950.0,13-11-2025,
T046,Incoming from online casino then immediate cash withdrawal,['gambling'],8.0,"The transaction involves funds coming from an online casino followed by an immediate cash withdrawal, which is indicative of potential money laundering through gambling activities. This pattern is suspicious as it may be used to disguise the origin of funds.",Incoming from online casino then immediate cash withdrawal,20000.0,14-11-2025,
T047,Cash deposit by third party – says “boss asked me to”,"['structuring', 'smurfing']",7.5,"The transaction involves a cash deposit by a third party, which is a common method used in structuring and smurfing to avoid detection. The mention of 'boss asked me to' suggests possible layering or involvement of multiple parties to obscure the origin of funds. The amount is just below the typical reporting threshold, indicating potential structuring.",Cash deposit by third party – says “boss asked me to”,9800.0,15-11-2025,
T048,Trade payment for “used clothing” – value highly suspicious,['trade-based laundering'],8.0,"The transaction involves a large amount for 'used clothing', which is unusual and suggests possible trade-based money laundering. The narrative itself indicates suspicion, warranting a high risk score.",Trade payment for “used clothing” – value highly suspicious,120000.0,16-11-2025,
T049,Cash deposit just below threshold – customer waiting outside for next person,"['structuring', 'smurfing']",8.0,"The transaction amount is just below the reporting threshold, which is a common indicator of structuring. The narrative suggests coordination with another person, indicating possible smurfing. These factors contribute to a high risk score.",Cash deposit just below threshold – customer waiting outside for next person,9900.0,17-11-2025,
T050,Multiple incoming from high-risk remittance corridor,"['structuring', 'funnel']",8.0,"The transaction involves multiple incoming transfers from a high-risk remittance corridor, which is indicative of structuring and funneling activities. These are common methods used to obscure the origin of funds and evade detection, thus posing a high risk for money laundering.",Multiple incoming from high-risk remittance corridor,45000.0,18-11-2025,
T051,"Cash deposit pattern – same amount, different branches","['structuring', 'smurfing']",8.0,"The transaction exhibits signs of structuring and smurfing, as it involves cash deposits of the same amount across different branches. This pattern is often used to avoid detection by financial institutions and regulatory bodies, indicating a high risk of money laundering.","Cash deposit pattern – same amount, different branches",9850.0,19-11-2025,
T052,,,,,Incoming crypto then layered through 15 accounts,60000.0,20-11-2025,"Error code: 400 - {'error': {'message': ""The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766"", 'type': None, 'param': 'prompt', 'code': 'content_filter', 'status': 400, 'innererror': {'code': 'ResponsibleAIPolicyViolation', 'content_filter_result': {'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'filtered': True, 'detected': True}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}}}"
T053,"Cash deposit – customer nervous, keeps looking around",['structuring'],8.0,"The transaction amount is just below the typical reporting threshold of 10,000 SGD, which is a common indicator of structuring. The customer's nervous behavior further raises suspicion of attempting to avoid detection.","Cash deposit – customer nervous, keeps looking around",9950.0,21-11-2025,
T054,,,,,Transfer to account with no legitimate economic activity,35000.0,22-11-2025,"Error code: 400 - {'error': {'message': ""The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766"", 'type': None, 'param': 'prompt', 'code': 'content_filter', 'status': 400, 'innererror': {'code': 'ResponsibleAIPolicyViolation', 'content_filter_result': {'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'filtered': True, 'detected': True}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}}}"
T055,Cash deposit every day for 30 days,"['structuring', 'smurfing']",8.0,"The transaction pattern suggests structuring, where deposits are made in amounts just below reporting thresholds to avoid detection. Daily deposits over a period of 30 days indicate smurfing, a method used to break down large amounts into smaller, less suspicious transactions. This behavior is consistent with attempts to evade AML controls.",Cash deposit every day for 30 days,9800.0,23-11-2025,
T056,Over-invoicing of palm oil export to related party,['trade-based laundering'],8.0,"The transaction involves over-invoicing, which is a common method of trade-based money laundering. The involvement of a related party increases the risk as it may facilitate the manipulation of invoices to move illicit funds.",Over-invoicing of palm oil export to related party,180000.0,24-11-2025,
T057,Cash deposit followed by immediate overseas telegraphic transfer,"['structuring', 'funnel']",8.0,"The transaction involves a cash deposit followed by an immediate overseas transfer, which is indicative of structuring and funneling. The amount is just below the typical reporting threshold, suggesting an attempt to avoid detection. This pattern is commonly associated with money laundering activities.",Cash deposit followed by immediate overseas telegraphic transfer,9900.0,25-11-2025,
