paragraph_id,source_document,regulation,risk_type,business_unit,owner,original_text,deadline,article
R01,MAS Notice 610 (Feb 2024),MAS Notice 610,AML/CFT,"['Compliance', 'Operations']",Compliance,"A bank shall establish and maintain adequate policies, procedures and controls to detect and deter and report suspicious transactions.",,
R02,MAS Notice 610 (Feb 2024),MAS Notice 610,Customer Due Diligence,"['Compliance', 'Risk Management']",Compliance,"Enhanced due diligence shall be performed on customers assessed as higher risk, including politically exposed persons (PEPs) and their close associates.",,
R03,MAS Notice 610 (Feb 2024),MAS Notice 610,Money Laundering/Terrorism Financing,"['Compliance', 'Operations']",MLRO,The bank shall monitor customer transactions on an ongoing basis for indicators of money laundering or terrorism financing.,,
R04,MAS Notice 610 (Feb 2024),MAS Notice 610,AML/CFT,"['Operations', 'Compliance']",Compliance,"Cash transactions of SGD 10,000 and above shall trigger a cash transaction report (CTR) within 5 business days.",5 business days,
R05,MAS Notice 610 (Feb 2024),MAS Notice 610,Compliance Risk,"['Banking Operations', 'Risk Management']",Compliance,The bank shall not establish or continue a correspondent banking relationship with a shell bank.,,
R06,MAS Notice 626 (Oct 2023),MAS Notice 626,Operational Risk,"['Board', 'Compliance']",Compliance,Material outsourcing arrangements must be approved by the Board or a Board committee.,,
R07,MAS Notice 626 (Oct 2023),MAS Notice 626,Third-party risk,"['Vendor Management', 'Risk Management']",Compliance,The bank shall conduct due diligence on the third-party service provider before entering into an outsourcing agreement.,,
R08,MAS Notice 626 (Oct 2023),MAS Notice 626,Operational Risk,"['IT', 'Risk Management']",Compliance,Critical systems outsourced to cloud providers must have exit strategies and data retrieval plans in place.,,
R09,MAS Notice 642 (Jan 2025),MAS Notice 642,AML/CFT,"['Compliance', 'Operations']",Compliance,Banks shall implement transaction monitoring systems capable of detecting structuring and smurfing patterns in real time.,,
R10,MAS Notice 642 (Jan 2025),MAS Notice 642,Transaction Monitoring,"['Operations', 'Compliance']",Compliance,Alerts generated by the transaction monitoring system shall be investigated within 3 business days.,,
R11,HKMA SPM OR-2 (2024),HKMA SPM OR-2,Operational Risk,"['Risk Management', 'Operations']",Compliance,"Operational risk management framework must include identification, assessment, monitoring and control/mitigation of operational risks.",,
R12,HKMA SPM OR-2 (2024),HKMA SPM OR-2,Operational Risk,['Operations'],Compliance,Business continuity plans shall be tested at least annually and upon material changes.,Annual,
R13,Basel III LCR (2024),Basel III,Liquidity Risk,"['Treasury', 'Risk Management']",Compliance,Banks shall maintain a Liquidity Coverage Ratio (LCR) of at least 100% at all times.,,LCR
R14,Basel III NSFR (2024),Basel III,Liquidity Risk,"['Treasury', 'Risk Management']",Compliance,The Net Stable Funding Ratio (NSFR) shall not fall below 100% on an ongoing basis.,Ongoing,NSFR
R15,MAS Notice 610 (Feb 2024),MAS Notice 610,Money Laundering,['Compliance'],MLRO,The bank shall appoint a Money Laundering Reporting Officer (MLRO) who reports directly to senior management.,,
R16,MAS Notice 626 (Oct 2023),MAS Notice 626,Concentration Risk,"['Risk Management', 'Outsourcing']",Compliance,Concentration risk arising from outsourcing to a single provider shall be assessed and mitigated.,,
R17,MAS Notice 655 (Cyber Hygiene 2025),MAS Notice 655,Cybersecurity,"['Internet Banking', 'Corporate Banking']",Compliance,Multi-factor authentication is mandatory for all internet banking and corporate banking customers.,,
R18,MAS Notice 655 (Cyber Hygiene 2025),MAS Notice 655,Cyber Risk,"['IT', 'Information Security']",Compliance,Banks shall conduct penetration testing at least annually and after any material system change.,Annual,Cyber Hygiene 2025
R19,HKMA SPM TM-G-1 (2024),HKMA SPM TM-G-1,AML/CFT,"['Compliance', 'Operations']",Compliance,Transaction monitoring rules shall be reviewed and updated at least annually or upon emergence of new typologies.,Annual,
R20,Basel Committee 239 (2024),Basel Committee 239,Risk Data Aggregation,['Board'],Compliance,The Board is ultimately responsible for the bankâ€™s risk data aggregation capabilities and risk reporting practices.,,
R21,MAS Notice 610 (Feb 2024),MAS Notice 610,AML/CFT,"['Compliance', 'Operations']",Compliance,Suspicious Transaction Reports (STRs) shall be filed with the Suspicious Transaction Reporting Office (STRO) no later than 15 calendar days after detection.,15 calendar days after detection,
R22,MAS Notice 610 (Feb 2024),MAS Notice 610,Customer Due Diligence,"['Compliance', 'Operations']",Compliance,The bank shall maintain records of all customer due diligence information for at least 5 years after the business relationship has ended.,Ongoing,
R23,MAS Notice 626 (Oct 2023),MAS Notice 626,Operational Risk,"['Operations', 'Audit']",Compliance,Audit trails must be maintained for all outsourced processes to enable effective oversight.,,
R24,MAS Notice 642 (Jan 2025),MAS Notice 642,Sanctions Risk,"['Compliance', 'Operations']",Compliance,Name screening against sanctions lists shall be performed in real-time for all transactions.,,
R25,HKMA Circular (2025),HKMA,Customer Due Diligence,"['Compliance', 'Operations']",Compliance,Virtual asset service providers (VASPs) are considered high-risk customers requiring enhanced due diligence.,,
R26,Basel III (2024th Pillar 2025),Basel III,Disclosure Risk,"['Finance', 'Risk Management']",Compliance,Banks shall disclose key regulatory ratios and risk exposures in a consistent and comparable format.,,
R27,MAS Notice 610 (Feb 2024),MAS Notice 610,Jurisdictional Risk,"['Senior Management', 'Compliance']",Compliance,Correspondent banking relationships with banks in high-risk jurisdictions require senior management approval.,,
R28,MAS Notice 655 (Cyber Hygiene 2025),MAS Notice 655,Cybersecurity,"['IT', 'Development']",Compliance,API security testing must be conducted before go-live and annually thereafter.,Annual,
R29,HKMA SPM OR-2 (2024),HKMA SPM OR-2,Third-party risk,"['Operations', 'Vendor Management']",Compliance,Third-party risk assessments shall be performed annually and upon material changes to the service.,Annual,
R30,MAS Notice 626 (Oct 2023),MAS Notice 626,Compliance Risk,"['Operations', 'Compliance']",Compliance,The bank shall ensure that the outsourcing provider allows it to remain in compliance with all applicable laws and regulations.,,
R31,MAS Notice 610 (Feb 2024),MAS Notice 610,AML/CFT,"['Compliance', 'Operations']",Compliance,Training on AML/CFT shall be provided to all relevant staff at least annually.,Annual,
R32,Basel III LCR (2024),Basel III,Liquidity Risk,"['Treasury', 'Risk Management']",Compliance,High-quality liquid assets (HQLA) must be unencumbered and readily available.,,LCR
R33,MAS Notice 642 (Jan 2025),MAS Notice 642,Transaction Monitoring,"['Compliance', 'Operations']",Compliance,Structuring detection rules must cover both cash deposits and electronic transfers below reporting thresholds.,,
R34,HKMA SPM TM-G-1 (2024),HKMA SPM TM-G-1,Transaction Monitoring,"['Operations', 'Compliance']",Compliance,The transaction monitoring system shall generate alerts for rapid movement of funds through accounts.,,
R35,MAS Notice 610 (Feb 2024),MAS Notice 610,AML/CFT,"['Audit', 'Compliance']",Compliance,The bank shall conduct independent audits of its AML/CFT program at least every two years.,Ongoing,
R36,MAS Notice 626 (Oct 2023),MAS Notice 626,Data Sovereignty,"['IT', 'Legal']",Compliance,Data sovereignty requirements must be addressed in cloud outsourcing contracts.,,
R37,Basel Committee 239 (2024),Basel Committee 239,Reporting Risk,"['Risk Management', 'Board']",Compliance,"Risk reports provided to the Board shall be accurate, timely and comprehensive.",,
R38,MAS Notice 655 (Cyber Hygiene 2025),MAS Notice 655,Cyber Risk,"['IT', 'Risk Management']",Compliance,Incident response plans shall be tested at least annually with tabletop and technical exercises.,Annual,Cyber Hygiene 2025
R39,HKMA Circular (2025),AML/CFT,AML/CFT,"['Compliance', 'Operations']",Compliance,Stablecoin-related activities are subject to the same AML/CFT requirements as traditional fiat.,,
R40,MAS Notice 610 (Feb 2024),MAS Notice 610,AML/CFT,"['Account Management', 'Compliance']",Compliance,The bank shall not open anonymous accounts or accounts in fictitious names.,,
R41,MAS Notice 642 (Jan 2025),MAS Notice 642,AML,"['Compliance', 'Operations']",Compliance,Funnel account detection must include velocity and turnover analysis.,,
R42,HKMA SPM OR-2 (2024),HKMA SPM OR-2,Operational Resilience,"['IT', 'Risk Management']",Operations,Operational resilience framework shall include scenario testing for cyber attacks and third-party failure.,,
R43,Basel III NSFR (2024),Basel III,Liquidity Risk,"['Finance', 'Risk Management']",Compliance,Available stable funding shall be calculated using prescribed regulatory factors.,,NSFR
R44,MAS Notice 626 (Oct 2023),MAS Notice 626,Operational Risk,"['Vendor Management', 'Legal']",Compliance,Termination clauses in outsourcing contracts must allow orderly exit within 90 days.,,
R45,MAS Notice 610 (Feb 2024),MAS Notice 610,Customer Due Diligence,"['Compliance', 'Operations']",Compliance,The bank shall implement a risk-based approach to customer due diligence.,,
